Combination,Capacitance,Total Volume
series:[4.7e-05],4.7e-05,2.16e-07
series:[0.0001],0.0001,3.43e-07
series:[0.00033],0.00033,7.54e-07
series:[0.00047],0.00047,1.005e-06
series:[0.00068],0.00068,1.571e-06
series:[0.00082],0.00082,1.963e-06
series:[0.001],0.001,2.454e-06
"series:[4.7e-05, 0.0001]",3.1973e-05,5.59e-07
"series:[4.7e-05, 0.0022]",4.6017e-05,7.94e-07
"series:[4.7e-05, 0.00033]",4.1141e-05,9.7e-07
"series:[4.7e-05, 0.00047]",4.2727e-05,1.221e-06
"series:[4.7e-05, 0.00068]",4.3961e-05,1.787e-06
"series:[4.7e-05, 0.00082]",4.4452e-05,2.179e-06
"series:[4.7e-05, 0.001]",4.489e-05,2.67e-06
"series:[0.0001, 0.0022]",9.5652e-05,9.21e-07
"series:[0.0001, 0.00033]",7.6744e-05,1.097e-06
"series:[0.0001, 0.00047]",8.2456e-05,1.348e-06
"series:[0.0001, 0.00068]",8.7179e-05,1.914e-06
"series:[0.0001, 0.00082]",8.913e-05,2.306e-06
"series:[0.0001, 0.001]",9.0909e-05,2.797e-06
"series:[0.0022, 0.00033]",0.000286957,1.332e-06
"series:[0.0022, 0.00047]",0.000387266,1.583e-06
"series:[0.0022, 0.00068]",0.000519444,2.149e-06
"series:[0.0022, 0.00082]",0.000597351,2.542e-06
"series:[0.0022, 0.001]",0.0006875,3.032e-06
"series:[0.00033, 0.00047]",0.000193875,1.759e-06
"series:[0.00033, 0.00068]",0.000222178,2.325e-06
"series:[0.00033, 0.00082]",0.000235304,2.717e-06
"series:[0.00033, 0.001]",0.00024812,3.208e-06
"series:[0.00047, 0.00068]",0.000277913,2.576e-06
"series:[0.00047, 0.00082]",0.00029876,2.969e-06
"series:[0.00047, 0.001]",0.000319728,3.46e-06
"series:[0.00068, 0.00082]",0.000371733,3.534e-06
"series:[0.00068, 0.001]",0.000404762,4.025e-06
"series:[0.00082, 0.001]",0.000450549,4.418e-06
"series:[4.7e-05, 0.0001, 0.0022]",3.1515e-05,1.137e-06
"series:[4.7e-05, 0.0001, 0.00033]",2.9149e-05,1.313e-06
"series:[4.7e-05, 0.0001, 0.00047]",2.9936e-05,1.564e-06
"series:[4.7e-05, 0.0001, 0.00068]",3.0537e-05,2.13e-06
"series:[4.7e-05, 0.0001, 0.00082]",3.0773e-05,2.522e-06
"series:[4.7e-05, 0.0001, 0.001]",3.0982e-05,3.013e-06
"series:[4.7e-05, 0.0022, 0.00033]",4.0385e-05,1.548e-06
"series:[4.7e-05, 0.0022, 0.00047]",4.1913e-05,1.799e-06
"series:[4.7e-05, 0.0022, 0.00068]",4.31e-05,2.365e-06
"series:[4.7e-05, 0.0022, 0.00082]",4.3572e-05,2.758e-06
